Frequency,Real,Imaginary
734000000,-0.549072265625,-0.9444580078125
734050000,-0.728515625,-0.8148193359375
734100000,-0.8765869140625,-0.6514892578125
734150000,-0.9898681640625,-0.462646484375
734200000,-1.0638427734375,-0.2545166015625
734250000,-1.0943603515625,-0.0357666015625
734300000,-1.0777587890625,0.1854248046875
734350000,-1.02197265625,0.399169921875
734400000,-0.9185791015625,0.5963134765625
734450000,-0.7801513671875,0.7686767578125
734500000,-0.6094970703125,0.912109375
734550000,-0.414794921875,1.0159912109375
734600000,-0.2022705078125,1.0806884765625
734650000,0.0220947265625,1.099609375
734700000,0.2410888671875,1.0745849609375
734750000,0.45263671875,1.0045166015625
734800000,0.6468505859375,0.893310546875
734850000,0.8145751953125,0.74609375
734900000,0.9488525390625,0.5665283203125
734950000,1.045166015625,0.3643798828125
735000000,1.0972900390625,0.146484375
735050000,1.106689453125,-0.0787353515625
735100000,1.06982421875,-0.2987060546875
735150000,0.988525390625,-0.509765625
735200000,0.865478515625,-0.698974609375
735250000,0.7081298828125,-0.85986328125
735300000,0.52001953125,-0.9852294921875
735350000,0.3121337890625,-1.07080078125
735400000,0.0870361328125,-1.1136474609375
735450000,-0.138671875,-1.1104736328125
735500000,-0.3602294921875,-1.0595703125
735550000,-0.5665283203125,-0.9654541015625
735600000,-0.75146484375,-0.8323974609375
735650000,-0.9039306640625,-0.6641845703125
735700000,-1.0213623046875,-0.4677734375
735750000,-1.0960693359375,-0.2530517578125
735800000,-1.125244140625,-0.027099609375
735850000,-1.1082763671875,0.201416015625
735900000,-1.0457763671875,0.4217529296875
735950000,-0.9383544921875,0.6256103515625
736000000,-0.793701171875,0.8017578125
736050000,-0.6163330078125,0.946533203125
736100000,-0.4129638671875,1.0506591796875
736150000,-0.1920166015625,1.1146240234375
736200000,0.0367431640625,1.1312255859375
736250000,0.2626953125,1.0999755859375
736300000,0.482177734375,1.02587890625
736350000,0.67919921875,0.906982421875
736400000,0.8470458984375,0.7513427734375
736450000,0.981201171875,0.5643310546875
736500000,1.0771484375,0.354248046875
736550000,1.1268310546875,0.1300048828125
736600000,1.129638671875,-0.1002197265625
736650000,1.08544921875,-0.3270263671875
736700000,0.9986572265625,-0.53857421875
736750000,0.8690185546875,-0.7291259765625
736800000,0.7037353515625,-0.8897705078125
736850000,0.5103759765625,-1.01416015625
736900000,0.294677734375,-1.0936279296875
736950000,0.0677490234375,-1.132568359375
737000000,-0.162353515625,-1.1224365234375
737050000,-0.384033203125,-1.06640625
737100000,-0.59130859375,-0.966796875
737150000,-0.77587890625,-0.827392578125
737200000,-0.9267578125,-0.653564453125
737250000,-1.0384521484375,-0.4525146484375
737300000,-1.1087646484375,-0.2325439453125
737350000,-1.132568359375,-0.005615234375
737400000,-1.1097412109375,0.223388671875
